Symbol,Company Name,Security Type,Security Price,S&P 500 (R)
A,Agilent Technologies Inc,Common Stock,139.77,1
AAPL,Apple Inc,Common Stock,247.65,1
ABBV,AbbVie Inc,Common Stock,216.15,1
ABNB,Airbnb Inc,Common Stock,133.59,1
ABT,Abbott Laboratories,Common Stock,120.73,1
ACGL,Arch Capital Group Ltd,Common Stock,92.28,1
ACN,Accenture PLC,Common Stock,280.72,1
ADBE,Adobe Inc,Common Stock,294.23,1
ADI,Analog Devices Inc,Common Stock,304.97,1
ADM,Archer-Daniels-Midland Co,Common Stock,67.7,1
ADP,Automatic Data Processing Inc,Common Stock,256.99,1
ADSK,Autodesk Inc,Common Stock,257.44,1
AEE,Ameren Corporation,Common Stock,104.13,1
AEP,American Electric Power Co Inc,Common Stock,118.98,1
AES,AES Corp (The),Common Stock,14.24,1
AFL,Aflac Incorporated,Common Stock,108.56,1
AIG,American International Group Inc,Common Stock,71.89,1
AIZ,Assurant Inc.,Common Stock,238.23,1
AJG,Arthur J. Gallagher & Co.,Common Stock,250.08,1
AKAM,Akamai Technologies Inc,Common Stock,93.72,1
ALB,Albemarle Corp,Common Stock,180.06,1
ALGN,Align Technology Inc,Common Stock,169.95,1
ALL,The Allstate Corporation,Common Stock,193.66,1
ALLE,Allegion PLC,Common Stock,165.88,1
AMAT,Applied Materials Inc,Common Stock,325.24,1
AMCR,Amcor Plc,Common Stock,42.4,1
AMD,Advanced Micro Devices Inc,Common Stock,249.8,1
AME,AMETEK Inc,Common Stock,220.42,1
AMGN,Amgen Inc,Common Stock,343.6,1
AMP,Ameriprise Financial Inc,Common Stock,503.75,1
AMT,American Tower Corp,Common Stock (REIT),178.17,1
AMZN,Amazon.com Inc,Common Stock,231.31,1
ANET,Arista Networks Inc,Common Stock,127.29,1
AON,Aon plc,Common Stock,332.76,1
AOS,A. O. Smith Corp,Common Stock,72.24,1
APA,APA Corporation,Common Stock,26.54,1
APD,Air Products and Chemicals Inc.,Common Stock,263.11,1
APH,Amphenol Corp,Common Stock,154.6,1
APO,Apollo Global Management Inc,Common Stock,139.53,1
APP,AppLovin Corporation,Common Stock,532.56,1
APTV,Aptiv PLC,Common Stock,80.27,1
ARE,Alexandria Real Estate Equities Inc.,Common Stock (REIT),58.45,1
ARES,Ares Management Corp,Common Stock,162.34,1
ATO,Atmos Energy Corp,Common Stock,168.37,1
AVB,AvalonBay Communities Inc.,Common Stock,178.96,1
AVGO,Broadcom Inc,Common Stock,328.8,1
AVY,Avery Dennison Corp,Common Stock,185.87,1
AWK,American Water Works Company Inc,Common Stock,130.99,1
AXON,Axon Enterprise Inc,Common Stock,610.25,1
AXP,American Express Co,Common Stock,359.61,1
AZO,AutoZone Inc,Common Stock,3671.68,1
BA,Boeing Co,Common Stock,250.07,1
BAC,Bank of America Corp,Common Stock,52.07,1
BALL,Ball Corporation,Common Stock,55.92,1
BAX,Baxter International Inc,Common Stock,19.71,1
BBY,Best Buy Co Inc,Common Stock,66.56,1
BDX,Becton Dickinson and Co,Common Stock,206.18,1
BEN,Franklin Resources Inc,Common Stock,25.47,1
BF-B,Brown-Forman Corp,Common Stock,28.01,1
BG,Bunge Global SA,Common Stock,112.07,1
BIIB,Biogen Inc,Common Stock,172.62,1
BK,Bank of New York Mellon Corp (The),Common Stock,119.76,1
BKNG,Booking Holdings Inc,Common Stock,5163.61,1
BKR,Baker Hughes a GE Co,Common Stock,53.59,1
BLDR,Builders FirstSource Inc,Common Stock,126.82,1
BLK,BlackRock Inc,Common Stock,1127.85,1
BMY,Bristol-Myers Squibb Co,Common Stock,54.5,1
BR,Broadridge Financial Solutions Inc,Common Stock,206.85,1
BRK-B,Berkshire Hathaway Inc,Common Stock,483.83,1
BRO,Brown & Brown Inc,Common Stock,78.07,1
BSX,Boston Scientific Corp,Common Stock,91.71,1
BX,Blackstone Inc,Common Stock,155.97,1
BXP,BXP Inc,Common Stock (REIT),65.93,1
C,Citigroup Inc,Common Stock,113.86,1
CAG,Conagra Brands Inc,Common Stock,17.3,1
CAH,Cardinal Health Inc,Common Stock,208.47,1
CARR,Carrier Global Corp,Common Stock,57.74,1
CAT,Caterpillar Inc,Common Stock,645.38,1
CB,Chubb Ltd,Common Stock,299.98,1
CBOE,Cboe Global Markets Inc,Common Stock,273.07,1
CBRE,CBRE Group Inc,Common Stock,170.29,1
CCI,Crown Castle Inc,Common Stock (REIT),87.17,1
CCL,Carnival Corporation & Plc,Common Stock,28.25,1
CDNS,Cadence Design Systems Inc,Common Stock,313.84,1
CDW,CDW Corp,Common Stock,127.62,1
CEG,Constellation Energy Corp,Common Stock,294.37,1
CF,CF Industries Holdings Inc,Common Stock,91.86,1
CFG,Citizens Financial Group Inc,Common Stock,64.06,1
CHD,Church & Dwight Co Inc,Common Stock,91.76,1
CHRW,C.H. Robinson Worldwide Inc.,Common Stock,179.38,1
CHTR,Charter Communications Inc,Common Stock,187.37,1
CI,The Cigna Group,Common Stock,274.91,1
CINF,Cincinnati Financial Corp,Common Stock,161.78,1
CL,Colgate-Palmolive Co,Common Stock,84.73,1
CLX,Clorox Co (The),Common Stock,110.54,1
CMCSA,Comcast Corp,Common Stock,28.89,1
CME,CME Group Inc,Common Stock,279.07,1
CMG,Chipotle Mexican Grill Inc,Common Stock,40.72,1
CMI,Cummins Inc.,Common Stock,582.04,1
CMS,CMS Energy Corp,Common Stock,71.69,1
CNC,Centene Corp,Common Stock,45.26,1
CNP,CenterPoint Energy Inc.,Common Stock,39.53,1
COF,Capital One Financial Corp,Common Stock,231.01,1
COIN,COINBASE GLOBAL INC,Common Stock,226.93,1
COO,Cooper Cos Inc (The),Common Stock,82.54,1
COP,Conocophillips,Common Stock,97.15,1
COR,Cencora Inc,Common Stock,351.75,1
COST,Costco Wholesale Corp,Common Stock,982.86,1
CPAY,Corpay Inc,Common Stock,316.45,1
CPB,Campbell's Co (The),Common Stock,26.2,1
CPRT,Copart Inc,Common Stock,41.31,1
CPT,Camden Property Trust,Common Stock (REIT),108.43,1
CRH,CRH PLC,Common Stock,121,1
CRL,Charles River Laboratories International Inc,Common Stock,226.77,1
CRM,SALESFORCE INC,Common Stock,221.58,1
CRWD,CrowdStrike Holdings Inc,Common Stock,445.88,1
CSCO,Cisco Systems Inc,Common Stock,73.69,1
CSGP,CoStar Group Inc,Common Stock,64.77,1
CSX,CSX Corp,Common Stock,36.53,1
CTAS,Cintas Corp,Common Stock,195.41,1
CTRA,Coterra Energy Inc,Common Stock,26.75,1
CTSH,Cognizant Technology Solutions Corp,Common Stock,84.03,1
CTVA,Corteva Inc,Common Stock,71.48,1
CVNA,Carvana Co,Common Stock,455.02,1
CVS,CVS Health Corp,Common Stock,81.49,1
CVX,Chevron Corp,Common Stock,166.73,1
D,Dominion Energy Inc,Common Stock,60.92,1
DAL,Delta Air Lines Inc,Common Stock,68.95,1
DASH,DoorDash Inc,Common Stock,206.48,1
DAY,Dayforce Inc,Common Stock,69.1,1
DD,DuPont  De Nemours Inc,Common Stock,43.38,1
DDOG,Datadog Inc,Common Stock,123.46,1
DE,DEERE & COMPANY,Common Stock,529.51,1
DECK,Deckers Outdoor Corp,Common Stock,101.94,1
DELL,Dell Technologies Inc,Common Stock,113.26,1
DG,Dollar General Corporation,Common Stock,147.16,1
DGX,Quest Diagnostics Inc,Common Stock,184.65,1
DHI,D.R. Horton Inc,Common Stock,158.11,1
DHR,Danaher Corp,Common Stock,242.05,1
DIS,Walt Disney Co (The),Common Stock,113.19,1
DLR,Digital Realty Trust Inc,Common Stock (REIT),159,1
DLTR,Dollar Tree Inc,Common Stock,132.94,1
DOC,Healthpeak Properties Inc,Common Stock (REIT),17.91,1
DOV,Dover Corp,Common Stock,208.55,1
DOW,Dow Inc,Common Stock,28.41,1
DPZ,Domino's Pizza Inc,Common Stock,398.92,1
DRI,Darden Restaurants Inc,Common Stock,207.34,1
DTE,DTE Energy Co,Common Stock,137.07,1
DUK,Duke Energy Corp,Common Stock,119.37,1
DVA,DaVita Inc,Common Stock,106.3,1
DVN,Devon Energy Corp,Common Stock,37.75,1
DXCM,DexCom Inc,Common Stock,72.11,1
EA,Electronic Arts Inc,Common Stock,204.15,1
EBAY,eBay Inc.,Common Stock,92.82,1
ECL,Ecolab Inc.,Common Stock,279.86,1
ED,Consolidated Edison Inc.,Common Stock,103.84,1
EFX,Equifax Inc.,Common Stock,212.01,1
EG,Everest Group Ltd,Common Stock,322.94,1
EIX,Edison International,Common Stock,60.42,1
EL,Estee Lauder Cos Inc (The),Common Stock,117.87,1
ELV,Elevance Health Inc,Common Stock,369.88,1
EME,EMCOR Group Inc.,Common Stock,708.71,1
EMR,Emerson Electric Co.,Common Stock,149.57,1
EOG,EOG Resources Inc.,Common Stock,108.05,1
EPAM,EPAM Systems Inc,Common Stock,212.95,1
EQIX,Equinix Inc,Common Stock (REIT),795.48,1
EQR,Equity Residential,Common Stock,61.35,1
EQT,EQT Corp,Common Stock,54.83,1
ERIE,Erie Indemnity Co,Common Stock,279.9,1
ES,Eversource Energy,Common Stock,71.38,1
ESS,Essex Property Trust Inc.,Common Stock,257.24,1
ETN,Eaton Corporation plc,Common Stock,337.96,1
ETR,Entergy corporation,Common Stock,95.73,1
EVRG,Evergy Inc,Common Stock,76.91,1
EW,Edwards Lifesciences Corp,Common Stock,85.14,1
EXC,Exelon Corp,Common Stock,45,1
EXE,Expand Energy Corporation,Common Stock,109.5,1
EXPD,Expeditors International of Washington Inc.,Common Stock,162.51,1
EXPE,Expedia Group Inc,Common Stock,271.56,1
EXR,Extra Space Storage Inc,Common Stock (REIT),145.42,1
F,Ford Motor Co,Common Stock,13.77,1
FANG,Diamondback Energy Inc,Common Stock,153,1
FAST,Fastenal Co,Common Stock,44.61,1
FCX,Freeport-McMoRan Inc,Common Stock,60.58,1
FDS,FactSet Research Systems Inc.,Common Stock,284.13,1
FDX,FedEx Corp.,Common Stock,306.95,1
FE,FirstEnergy Corp.,Common Stock,47.37,1
FFIV,F5 Inc,Common Stock,261.55,1
FICO,Fair Isaac Corporation,Common Stock,1535.54,1
FIS,Fidelity National Information Services Inc,Common Stock,60.58,1
FISV,Fiserv Inc.,Common Stock,65.73,1
FITB,Fifth Third Bancorp,Common Stock,52.86,1
FIX,Comfort Systems USA Inc,Common Stock,1148,1
FOX,Fox Corp,Common Stock,65.47,1
FOXA,Fox Corp,Common Stock,72.7,1
FRT,Federal Realty Investment Trust,Common Stock (REIT),102.46,1
FSLR,First Solar Inc,Common Stock,243.72,1
FTNT,Fortinet Inc,Common Stock,75.75,1
FTV,Fortive Corp,Common Stock,54.44,1
GD,General Dynamics Corp,Common Stock,364.78,1
GDDY,GoDaddy Inc,Common Stock,104.14,1
GE,GE Aerospace,Common Stock,318.5,1
GEHC,GE HealthCare Technologies Inc,Common Stock,81.1,1
GEN,Gen Digital Inc,Common Stock,25.195,1
GEV,GE Vernova Inc,Common Stock,667.89,1
GILD,Gilead Sciences Inc,Common Stock,129.11,1
GIS,General Mills Inc.,Common Stock,43.98,1
GL,Globe Life Inc,Common Stock,138.73,1
GLW,Corning Inc,Common Stock,93.52,1
GM,General Motors Co,Common Stock,80.93,1
GNRC,Generac Holdings Inc,Common Stock,172.06,1
GOOGL,Alphabet Inc,Common Stock,328.38,1
GPC,Genuine Parts Co,Common Stock,136.24,1
GPN,Global Payments Inc,Common Stock,73.35,1
GRMN,Garmin Ltd,Common Stock,204.57,1
GS,Goldman Sachs Group Inc (The),Common Stock,953.01,1
GWW,Grainger (W.W.) Inc,Common Stock,1058.58,1
HAL,Halliburton Co,Common Stock,33.36,1
HAS,Hasbro Inc.,Common Stock,87.9,1
HBAN,Huntington Bancshares Inc,Common Stock,18.77,1
HCA,HCA Healthcare Inc,Common Stock,465.44,1
HD,Home Depot Inc. (The),Common Stock,384.64,1
HIG,Hartford Insurance Group Inc (The),Common Stock,129.56,1
HII,Huntington Ingalls Industries Inc,Common Stock,422.68,1
HLT,Hilton Worldwide Holdings Inc,Common Stock,296.46,1
HOLX,Hologic Inc,Common Stock,75.14,1
HON,Honeywell International Inc,Common Stock,219.17,1
HOOD,Robinhood Markets Inc,Common Stock,105.92,1
HPE,Hewlett Packard Enterprise Co,Common Stock,21.02,1
HPQ,HP Inc,Common Stock,19.53,1
HRL,Hormel Foods Corp,Common Stock,24.43,1
HSIC,Henry Schein Inc,Common Stock,78.94,1
HST,Host Hotels & Resorts Inc,Common Stock (REIT),18.68,1
HSY,Hershey Co (The),Common Stock,196.07,1
HUBB,Hubbell Inc,Common Stock,482.5,1
HUM,Humana Inc.,Common Stock,270.67,1
HWM,Howmet Aerospace Inc,Common Stock,225,1
IBKR,Interactive Brokers Group Inc,Common Stock,75.8,1
IBM,International Business Machines Corp,Common Stock,297.54,1
ICE,Intercontinental Exchange Inc,Common Stock,171.9,1
IDXX,IDEXX Laboratories Inc,Common Stock,696.46,1
IEX,IDEX Corp,Common Stock,199.06,1
IFF,International Flavors & Fragrances Inc,Common Stock,71.3,1
INCY,Incyte Corp,Common Stock,104.67,1
INTC,Intel Corp,Common Stock,54.25,1
INTU,Intuit Inc.,Common Stock,524.92,1
INVH,Invitation Homes Inc,Common Stock,27.5,1
IP,International Paper Company,Common Stock,42.79,1
IQV,IQVIA Holdings Inc,Common Stock,241.4,1
IR,Ingersoll Rand Inc,Common Stock,89.82,1
IRM,Iron Mountain Inc,Common Stock (REIT),93.81,1
ISRG,Intuitive Surgical Inc,Common Stock,523.69,1
IT,Gartner Inc,Common Stock,232.44,1
ITW,Illinois Tool Works Inc.,Common Stock,259.94,1
IVZ,Invesco Ltd,Common Stock,29.17,1
J,Jacobs Solutions Inc,Common Stock,138.47,1
JBHT,J.B. Hunt Transport Services Inc.,Common Stock,209.7,1
JBL,Jabil Inc,Common Stock,253.15,1
JCI,Johnson Controls International Plc,Common Stock,115.49,1
JKHY,Henry (Jack) & Associates Inc,Common Stock,187.82,1
JNJ,Johnson & Johnson,Common Stock,218.01,1
JPM,JPMorgan Chase & Co,Common Stock,302.04,1
KDP,Keurig Dr Pepper Inc,Common Stock,27.7,1
KEY,KeyCorp,Common Stock,21.69,1
KEYS,Keysight Technologies Inc,Common Stock,216.69,1
KHC,The Kraft Heinz Co,Common Stock,22.4,1
KIM,Kimco Realty Corp,Common Stock (REIT),20.92,1
KKR,KKR & Co Inc,Common Stock,124.33,1
KLAC,KLA Corp,Common Stock,1520,1
KMB,Kimberly-Clark Corporation,Common Stock,100.02,1
KMI,Kinder Morgan Inc.,Common Stock,28.58,1
KO,Coca-Cola Co (The),Common Stock,72.01,1
KR,Kroger Co. (The),Common Stock,63.92,1
KVUE,Kenvue Inc,Common Stock,17.38,1
L,Loews Corp,Common Stock,102.38,1
LDOS,Leidos Holdings Inc,Common Stock,192.12,1
LEN,Lennar Corp,Common Stock,118,1
LH,Labcorp Holdings Inc,Common Stock,269.14,1
LHX,L3Harris Technologies Inc,Common Stock,347.81,1
LII,Lennox International Inc.,Common Stock,516.42,1
LIN,Linde Plc,Common Stock,439.35,1
LLY,Eli Lilly and Co,Common Stock,1078.52,1
LMT,Lockheed Martin Corp,Common Stock,586.23,1
LNT,Alliant Energy Corporation,Common Stock,67.44,1
LOW,Lowe's Cos Inc,Common Stock,277.11,1
LRCX,Lam Research Corp,Common Stock,228.39,1
LULU,Lululemon Athletica Inc,Common Stock,189.84,1
LUV,Southwest Airlines Co.,Common Stock,42.85,1
LVS,Las Vegas Sands Corp,Common Stock,59.6,1
LW,Lamb Weston Holdings Inc,Common Stock,44.32,1
LYB,LyondellBasell Industries NV,Common Stock,51.82,1
LYV,Live Nation Entertainment Inc,Common Stock,139.71,1
MA,Mastercard Inc,Common Stock,527.57,1
MAA,Mid-America Apartment Communities Inc,Common Stock (REIT),135.38,1
MAR,Marriott International Inc,Common Stock,320.56,1
MAS,Masco Corporation,Common Stock,70.18,1
MCD,McDonald's Corp,Common Stock,305.69,1
MCHP,Microchip Technology Inc,Common Stock,76.2,1
MCK,McKesson Corp,Common Stock,823.25,1
MCO,Moody's Corp.,Common Stock,524.82,1
MDLZ,Mondelez International Inc,Common Stock,57.35,1
MDT,Medtronic PLC,Common Stock,100.29,1
MET,MetLife Inc,Common Stock,76.6,1
META,Meta Platforms Inc,Common Stock,612.96,1
MGM,MGM Resorts International,Common Stock,33.9,1
MKC,McCormick & Co Inc,Common Stock,66.56,1
MLM,Martin Marietta Materials Inc,Common Stock,641.14,1
MMM,3M Co,Common Stock,155.88,1
MNST,Monster Beverage Corp,Common Stock,81.6,1
MO,Altria Group Inc,Common Stock,61.08,1
MOH,Molina Healthcare Inc.,Common Stock,194.6,1
MOS,Mosaic Company (The),Common Stock,27.65,1
MPC,Marathon Petroleum Corp,Common Stock,177.48,1
MPWR,Monolithic Power Systems Inc,Common Stock,1074.93,1
MRK,Merck and Co Inc,Common Stock,111.11,1
MRNA,Moderna Inc,Common Stock,49.81,1
MRSH,Marsh and McLennan Companies Inc,,179.68,1
MS,Morgan Stanley,Common Stock,183.32,1
MSCI,MSCI Inc,Common Stock,588.97,1
MSFT,Microsoft Corp,Common Stock,444.11,1
MSI,Motorola Solutions Inc,Common Stock,394.95,1
MTB,M&T Bank Corp,Common Stock,219.16,1
MTCH,Match Group Inc,Common Stock,31.015,1
MTD,Mettler-Toledo International Inc,Common Stock,1442.93,1
MU,Micron Technology Inc.,Common Stock,389.11,1
NCLH,Norwegian Cruise Line Holdings Ltd,Common Stock,20.87,1
NDAQ,Nasdaq Inc,Common Stock,98.78,1
NDSN,Nordson Corp,Common Stock,273.1,1
NEE,NextEra Energy Inc,Common Stock,83.85,1
NEM,Newmont Corporation,Common Stock,118.91,1
NFLX,Netflix Inc,Common Stock,85.36,1
NI,NiSource Inc,Common Stock,43.79,1
NKE,NIKE Inc,Common Stock,65.41,1
NOC,Northrop Grumman Corp,Common Stock,664.16,1
NOW,ServiceNow Inc,Common Stock,125.3,1
NRG,NRG Energy Inc,Common Stock,150.68,1
NSC,Norfolk Southern Corp,Common Stock,289.1,1
NTAP,NetApp Inc,Common Stock,97.09,1
NTRS,Northern Trust Corp,Common Stock,144.42,1
NUE,Nucor Corp,Common Stock,180.23,1
NVDA,NVIDIA Corporation,Common Stock,183.32,1
NVR,NVR Inc.,Common Stock,7796.75,1
NWS,News Corp,Common Stock,30.25,1
NWSA,News Corp,Common Stock,26.13,1
NXPI,NXP Semiconductors NV,Common Stock,233.72,1
O,Realty Income Corp,Common Stock (REIT),61.79,1
ODFL,Old Dominion Freight Line Inc,Common Stock,178.4,1
OKE,ONEOK Inc,Common Stock,75.82,1
OMC,Omnicom Group Inc,Common Stock,78.58,1
ON,ON Semiconductor Corp,Common Stock,63.13,1
ORCL,Oracle Corp,Common Stock,173.88,1
ORLY,O'Reilly Automotive Inc,Common Stock,98.78,1
OTIS,Otis Worldwide Corp,Common Stock,89.48,1
OXY,Occidental Petroleum Corp,Common Stock,43.51,1
PANW,Palo Alto Networks Inc,Common Stock,181.47,1
PAYC,Paycom Software Inc,Common Stock,149.18,1
PAYX,Paychex Inc.,Common Stock,107.19,1
PCAR,PACCAR Inc,Common Stock,123.26,1
PCG,PG&E Corp,Common Stock,15.17,1
PEG,Public Service Enterprise Group Inc,Common Stock,79.77,1
PEP,PepsiCo Inc,Common Stock,146.74,1
PFE,Pfizer Inc,Common Stock,25.89,1
PFG,Principal Financial Group Inc,Common Stock,91.09,1
PG,Procter & Gamble Co (The),Common Stock,146.06,1
PGR,Progressive Corp (The),Common Stock,203,1
PH,Parker-Hannifin Corp,Common Stock,945.29,1
PHM,PulteGroup Inc,Common Stock,129.97,1
PKG,Packaging Corp Of America,Common Stock,220,1
PLD,Prologis Inc,Common Stock (REIT),131.14,1
PLTR,Palantir Technologies Inc,Common Stock,165.33,1
PM,Philip Morris International Inc,Common Stock,168.81,1
PNC,The PNC Financial Services Group Inc,Common Stock,225.49,1
PNR,Pentair plc,Common Stock,107.15,1
PNW,Pinnacle West Capital Corp,Common Stock,93.45,1
PODD,Insulet Corp,Common Stock,284.96,1
POOL,Pool Corp,Common Stock,266.74,1
PPG,PPG Industries Inc.,Common Stock,112.54,1
PPL,PPL Corp,Common Stock,37.18,1
PRU,Prudential Financial Inc,Common Stock,109.49,1
PSA,Public Storage,Common Stock (REIT),288.7,1
PSKY,Paramount Skydance Corp,Common Stock,11.6,1
PSX,Phillips 66,Common Stock,141.64,1
PTC,PTC Inc,Common Stock,161.32,1
PWR,Quanta Services Inc.,Common Stock,473.24,1
PYPL,PayPal Holdings Inc,Common Stock,55.89,1
Q,,,,
QCOM,QUALCOMM Inc.,Common Stock,156.37,1
RCL,Royal Caribbean Group,Common Stock,277.77,1
REG,Regency Centers Corp.,Common Stock (REIT),71.02,1
REGN,Regeneron Pharmaceuticals Inc,Common Stock,749.33,1
RF,Regions Financial Corp,Common Stock,28.65,1
RJF,Raymond James Financial Inc.,Common Stock,170.06,1
RL,Ralph Lauren Corp,Common Stock,369.58,1
RMD,Resmed Inc,Common Stock,259.28,1
ROK,Rockwell Automation Inc.,Common Stock,420.3,1
ROL,Rollins Inc,Common Stock,63.3,1
ROP,Roper Technologies Inc,Common Stock,404.66,1
ROST,Ross Stores Inc,Common Stock,192.32,1
RSG,Republic Services Inc.,Common Stock,214.29,1
RTX,RTX Corp,Common Stock,197.5,1
RVTY,Revvity Inc,Common Stock,116.53,1
SBAC,SBA Communications Corp,Common Stock,186.13,1
SBUX,Starbucks Corp,Common Stock,96.43,1
SCHW,Schwab (Charles) Corp,Common Stock,101.79,1
SHW,Sherwin-Williams Co (The),Common Stock,356.31,1
SJM,The J M Smucker Company,Common Stock,102.19,1
SLB,SLB Ltd,Common Stock,48.52,1
